id,author_year,cave_region_id,is_archival,description,region,archival_flag
12160,1927 „Niedźwiedź jaskiniowy…”,41,,"1927: Niedźwiedź jaskiniowy (Ursus spelaeus) wykopany w grocie Magury i zestawiony w Miejskiej Pracowni Przyrodniczej przez E.M. Potęgę znajduje się w Miejskim Muzeum w Łodzi. Czasopismo Przyrodnicze ilustrowane, I, VI, okładka, Łódź. ",Tatry,
14791,80 lat Oddziału Krakowskiego PTTK 1999,47,,80 lat Oddziału Krakowskiego PTTK 1999: PTTK Kraków.,Wyżyna Śląsko-Krakowska,
13988,"Abramson N., Nadachowski A. 2001",47,,"Abramson N., Nadachowski A. 2001: Revision of fossil lemings (Lemminae) from Poland with special reference to the occurence of Synaptomys i Eurasia. Acta Zool. Cracoviensia 44: 65-77, Kraków.",Wyżyna Śląsko-Krakowska,
12214,Adamczewska A. i in. 2013,47,,"Adamczewska A., Nowak J., Pawełczyk M. 2013: Dziura w Dąbrowie. Jaskinie 4(73): 31-33, Kraków.",Wyżyna Śląsko-Krakowska,
15231,Adamczewski J. 2019,47,,"Adamczewski J. 2019: Opowieści starego Krakowa. Wydawnictwo Skrzat, Kraków.",Wyżyna Śląsko-Krakowska,
12161,Albrzykowski G. 1983,41,,"Albrzykowski G. 1983: Stefan Zwoliński - zarys działalności jaskiniowej. Biuletyn Speleoklubu Tatrzańskiego 2: 4-6, Zakopane.",Tatry,
12162,Albrzykowski G. 1988a,41,,"Albrzykowski G. 1988a: Śnieżna Studnia - ciąg dalszy. Dewiator 1 (6):6-7, Biuletyn Speleoklubu Tatrzańskiego, Zakopane.",Tatry,
12163,Albrzykowski G. 1988b,41,,"Albrzykowski G. 1988b: Śnieżna Studnia -702 m deniwelacji. Eksplorancik 2-3:25-26, Kraków.",Tatry,
12164,Albrzykowski G. 1989,41,,"Albrzykowski G. 1989: Jaskinia Zimna; plan Krętego Korytarza 1:200. Arch. PTPNoZ, Warszawa.",Tatry,
12165,Albrzykowski G. 1989,41,,"Albrzykowski G. 1989: Śnieżna Studnia - ciąg dalszy. Dewiator 2 (7): 14-19, Biuletyn Speleoklubu Tatrzańskiego, Zakopane.",Tatry,
12420,Albrzykowski G. 1990,41,,"Albrzykowski G. 1990: Śnieżnej Studni ciąg dalszy. Eksplorancik 1 (15): 11, Kraków.",Tatry,
12421,Albrzykowski G. 1991,41,,"Albrzykowski G. 1991: Śnieżna Studnia - wschodnie partie. Dewiator 3 (8): 9-11, Biuletyn Speleoklubu Tatrzańskiego, Zakopane.",Tatry,
12422,Albrzykowski G. 1991a,41,,"Albrzykowski G. 1991a: Eksploracja Śnieżnej Studni. Eksplorancik 1 (17): 7, Zakopane.",Tatry,
12423,Albrzykowski G. 1992,41,,"Albrzykowski G. 1992: Śnieżna Studnia – aktualności. Jaskinie nr 1:11-13, Kraków.",Tatry,
12424,Albrzykowski G. 1993a,41,,"Albrzykowski G. 1993a: Eksploracja w Śnieżnej Studni. Dewiator 4 (9): 14-26, Biuletyn Speleoklubu Tatrzańskiego, Zakopane.",Tatry,
12425,Albrzykowski G. 1993b,41,,"Albrzykowski G. 1993b: Śnieżna Studnia - Z biegiem błot, z biegiem wód. Jaskinie nr 2:13, 16-17, Kraków.",Tatry,
12426,Albrzykowski G. 1993c,41,,"Albrzykowski G. 1993c: Zakopiańska eksploracja jaskiniowa - Śnieżna Studnia 1992/93. Góry 6: 38, Kraków.",Tatry,
12427,Albrzykowski G. 1995,41,,"Albrzykowski G. 1995: Wspinaczki w Śnieżnej Studni. Dewiator 5 (11): 10-12, Biuletyn Speleoklubu Tatrzańskiego, Zakopane.",Tatry,
12428,Albrzykowski G. 1997,41,,"Albrzykowski G. 1997: Śnieżna Studnia - eksploracja wokół Studni Wazeliniarzy. Dewiator 14: 14-16, Biuletyn Speleoklubu Tatrzańskiego, Zakopane.",Tatry,
12429,Albrzykowski G. 1998a,41,,"Albrzykowski G. 1998a: W Śnieżnej Studni przekroczona 7 kilometrów. Jaskinie 4 (11): 4, Kraków.",Tatry,
12430,Albrzykowski G. 1998b,41,,"Albrzykowski G. 1998b: Śnieżna Studnia - lata 1997-1998. Dewiator 15: 16-18, Biuletyn Speleoklubu Tatrzańskiego, Zakopane.",Tatry,
12431,Albrzykowski G. 2000,41,,"Albrzykowski G. 2000: Eksploracja Śnieżnej Studni. Dewiator nr 16: 20-23, Zakopane.",Tatry,
12432,Albrzykowski G. 2002,41,,"Albrzykowski G. 2002: Śnieżna Studnia. Dewiator nr 18: 22-23, Zakopane.",Tatry,
12433,"Albrzykowski G., Michalik S. 1988",41,,"Albrzykowski G., Michalik, S. 1988: Śnieżna Studnia - druga siedemsetka w Tatrach. Taternik 2:73-74, Warszawa.",Tatry,
15233,Album [1900–1910],47,,"Album [1900–1910]: Album widoków z Ojcowa. Serja II. Wydawnictwo Bazar Warszawski, [Ojców], [15] kk.",Wyżyna Śląsko-Krakowska,
15237,Album 1910,47,,"Album 1910: Album widoków Ojcowa. Nakład Maryi Bernhard, [b.m.w.], [16] kk.",Wyżyna Śląsko-Krakowska,
15235,Album [przed 1915],47,,"Album [przed 1915]: Album widoków Ojcowa. Wydawnictwo Bazaru Warszawskiego w Ojcowie [Ojców], [19] kk.",Wyżyna Śląsko-Krakowska,
10564,Alexandrowicz S.W. 1992,47,,"Alexandrowicz S.W. 1992: Malacofauna from a rock-shelter In Ruskie Skały Tors (Będkowska Valley, Cracow Upland). Folia Quaternaria 63: 27- 34, Kraków.",Wyżyna Śląsko-Krakowska,
10565,Alexandrowicz S.W. 1997,47,,"Alexandrowicz S.W. 1997: Waloryzacja i projekt ochrony skałek jurajskich w Piekarach koło Tyńca. Geologia 23 (2): 141-163, Kraków.",Wyżyna Śląsko-Krakowska,
15239,Alexandrowicz S.W. 2000,47,,"Alexandrowicz S.W. 2000: Malacofauna of Holocene cave sediments of the Cracow Upland (Poland). Folia Quaternaria, 71: 85–112.",Wyżyna Śląsko-Krakowska,
10566,"Alexandrowicz S.W., Alexandrowicz Z. 2004",47,,"Alexandrowicz S.W., Alexandrowicz Z. 2004: Ewolucja rzeźby i środowiska Płaskowyżu Ojcowskiego. [W:] Partyka J., [red.], Zróżnicowanie i przemiany środowiska przyrodniczo-kulturowego Wyżyny Krakowsko-Częstochowskiej. Tom 1 - Przyroda: 47-54, Ojców.",Wyżyna Śląsko-Krakowska,
10195,Alexandrowicz S.W. i in. 1982,29,,"Alexandrowicz S.W., Garlicki A., Rutkowski J. 1982: Podstawowe jednostki litostratygraficzne miocenu Zapadliska Przedkarpackiego. Kwart. Geol. 26(2): 470-471, Warszawa.",Niecka Nidziańska,
14918,Alexandrowicz S.W. i in. 1985,19,,"Alexandrowicz S.W., Nadachowski A., Rydlewski J., Valde-Nowak P., Wołoszyn B.W. 1985: Subfossil fauna from a cave in the Sobczański Gully (Pieniny Mts., Poland) [Subfosylna fauna z jaskini w Wąwozie Sobczańskim (Pieniny)]. Folia Quaternaria 56: 57–78.",Pieniny,
14045,Alexandrowicz Z. 1970,40,,Alexandrowicz Z. 1970: Skałki piaskowcowe w okolicy Ciężkowic nad Białą. Ochrona Przyrody 35: 281-335.,Karpaty,
11537,Alexandrowicz Z. 1978,40,,"Alexandrowicz Z. 1978: Skałki piaskowcowe Zachodnich Karpat Fliszowych. Kom. Nauk Geol.: 1-87, Wrocław-Warszawa-Kraków.",Karpaty,
11538,Alexandrowicz Z. 1982,40,,"Alexandrowicz Z. 1982: Skałki piaskowcowe Gorczańskiego Parku Narodowego i jego otoczenia. Ochrona Przyrody, 44: 293-316.",Karpaty,
14028,Alexandrowicz Z. 1987,40,,Alexandrowicz Z. 1987: Rezerwaty i pomniki przyrody nieożywionej województwa krośnieńskiego. Studia Naturae 32: 23-72.,Karpaty,
14072,Alexandrowicz Z. 1987a,40,,Alexandrowicz Z. 1987a: Przyroda nieożywiona Czarnorzeckiego Parku Krajobrazowego. Ochrona Przyrody 45: 263-292.,Karpaty,
11539,Alexandrowicz Z. 1989 ,40,,"Alexandrowicz Z. 1989: Formy pseudokrasowe związane z ruchami masowymi w polskich Karpatach Fliszowych. [W:] 2. Sympozium o pseudokrasu - Janovicky u Broumova 1985. Sbornik referatu ze sympozia, Ceska Speleologicka Spolecnost, svazek 10: 16-20, Praha.",Karpaty,
11540,Alexandrowicz Z. 1990,40,,"Alexandrowicz Z. 1990: Skalni tvary ve Slezskych Beskydech. [W:] IV Sympozium o pseudokrasu - Podolanky v Beskydach 1990. Sbornik referatu, ss. 11-15 Praha.",Karpaty,
10357,Alexandrowicz Z. 2003,30,,"Alexandrowicz Z. 2003: Ochrona dziedzictwa geologicznego Polski w koncepcji europejskiej sieci geostanowisk. Przegląd Geologiczny 3: 224-230, Warszawa.",Region Świętokrzyski,
10000,Alexandrowicz Z. 2006 ,18,,"Alexandrowicz Z.R. 2006: Framework of European geosites in Poland. Nature Conservation, 62: 63-87.",Niż Polski,
14074,Alexandrowicz Z. 2008,40,,"Alexandrowicz Z. 2008: Sandstone rocky forms in the Polish Carpathians attractive for education and tourism. Prz. Geol. 56, 8/1: 680-687.",Karpaty,
14073,Alexandrowicz Z. 2009,40,,Alexandrowicz Z. 2009: Skałki piaskowcowe na szlakach turystycznych Pogórza Karpackiego - walory geologiczne i krajobrazowe oraz ich zagrożenia. Wierchy 75: 179-198.,Karpaty,
14077,Alexandrowicz Z. i in. 1975,39,,"Alexandrowicz Z., Drzał M., Kozłowski S. 1975: Katalog rezerwatów i pomników przyrody nieożywionej w Polsce. Studia Naturae, ser. B 26, ss. 298, Warszawa-Kraków.",Sudety,
14792,Alexandrowicz Z. i in. 1975,47,,"Alexandrowicz Z., Drzał M., Kozłowski S. 1975: Katalog rezerwatów i pomników przyrody nieożywionej w Polsce. Studia Naturae, ser. B 26, ss. 298, Warszawa-Kraków.",Wyżyna Śląsko-Krakowska,
10196,Alexandrowicz Z. i in. 1975,29,,"Alexandrowicz Z., Drzał M., Kozłowski S. 1975: Katalog rezerwatów i pomników przyrody nieożywionej w Polsce. Studia Naturae, ser. B 26, ss. 298, Warszawa-Kraków.",Niecka Nidziańska,
11536,Alexandrowicz Z. i in. 1975,40,,"Alexandrowicz Z., Drzał M., Kozłowski S. 1975: Katalog rezerwatów i pomników przyrody nieożywionej w Polsce. Studia Naturae, ser. B 26, ss. 298, Warszawa-Kraków.",Karpaty,
10001,Alexandrowicz Z. i in. 1975,18,,"Alexandrowicz Z., Drzał M., Kozłowski S. 1975: Katalog rezerwatów i pomników przyrody nieożywionej w Polsce. Studia Naturae, ser. B 26, ss. 298, Warszawa-Kraków.",Niż Polski,
10355,Alexandrowicz Z. i in. 1975,30,,"Alexandrowicz Z., Drzał M., Kozłowski S. 1975: Katalog rezerwatów i pomników przyrody nieożywionej w Polsce. Studia Naturae, ser. B 26, ss. 298, Warszawa-Kraków.",Region Świętokrzyski,
10197,Alexandrowicz Z. i in. 1992,29,,"Alexandrowicz Z., Kućmierz A., Urban J., Otęska-Budzyn J. 1992: Waloryzacja przyrody nieożywionej obszarów i obiektów chronionych w Polsce. Wyd. PIG, ss.140, Warszawa.",Niecka Nidziańska,
