NR_INWENT,NAZWA,REGION,GMINA,WLASCICIEL,DLUGOSC,GLEBOKOSC,PRZEWYZSZE,DENIWELACJ,OSUWISKOWA,X_1992,Y_1992,ID,ROK_AKTUAL,lon,lat
T.E-12.33,Komora Gwiaździsta,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,60.0,0.0,0.0,0.0,0,566868.64,153454.44,1568,2010,19.919019025314213,49.24494059735874
T.D-12.06,Nisza przy Zagonie,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,7.0,0.0,0.0,0.0,0,566354.44,153620.78,1216,2010,19.91198054871302,49.24649312157015
T.E-09.22,Ukryty Schron,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,5.0,0.9,0.0,0.9,0,563569.6,152445.54,1461,2010,19.873523740778893,49.236215400308446
T.E-07.16,Jaskinia nad Smytnią,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.5,0.0,0.0,0.0,0,561668.11,152908.05,1311,2010,19.847469197825305,49.24057119117444
T.E-10.07,Dziura na Półce,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,5.5,0.0,0.0,0.0,0,565094.77,153437.51,1456,2010,19.89463999222052,49.24497963498356
T.E-08.02,Jaskinia za Smrekiem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,80.0,8.0,2.0,10.0,0,562874.09,152324.19,1386,2010,19.86394869008768,49.23519549076861
K.Bż-05.31,Jaskinia między Świerkami w Okrąglicy,Karpaty,Zawoja (gm. wiejska),Skarb Państwa (Lasy Państwowe),7.0,2.0,0.0,2.0,1,547266.05,195812.45,10156,2015,19.65468334670162,49.627866664559456
K.Bn-09.60,Długi Okap,Karpaty,Dukla (gm. miejsko-wiejska),Prywatny,13.0,2.5,0.0,2.5,1,694378.13,188609.27,10783,2015,21.68730552315863,49.53369446523622
T.E-06.04,Schron przy Troistej I,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,2.0,0.0,0.0,0.0,0,560722.18,152844.04,1319,2010,19.834461583700488,49.24008991856694
T.E-06.06,Sarni Schron,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.0,0.0,0.0,0.0,0,561161.25,152645.74,1323,2010,19.840464453399896,49.2382620799364
T.E-09.10,Jaskinia pod Oknem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,78.0,8.0,7.0,15.0,0,563391.96,152472.83,1441,2013,19.87108736535913,49.236479356584766
T.D-17.10,Szczelina nad Partyzancką,Tatry,Zakopane (gm. miejska),Skarb Państwa,3.5,0.0,0.0,0.0,0,572013.12,154158.32,1257,2010,19.989838860391554,49.25068907527281
T.E-05.05,Schron za Smrekiem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.0,0.0,0.0,0.0,0,559849.32,153040.87,1292,2010,19.822497209544657,49.24194681633447
J.GT-01.03Ex,Schronisko przy Jaskini Mydlnickiej II,Wyżyna Śląsko-Krakowska,Kraków (gm. miejska),Prywatny,8.5,0.0,0.0,0.0,0,560188.31,247342.12,3328,2013,19.84166666734118,50.09027777748663
T.E-08.56,Szczelina w Żlebie z Bramką II,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.0,0.0,0.0,0.0,0,562409.43,153111.58,1432,2010,19.85768725230656,49.24232715761611
T.D-14.04,Szczelina w Giewoncie I,Tatry,Zakopane (gm. miejska),Skarb Państwa,3.6,3.6,0.0,3.6,0,568501.28,154276.34,1217,2010,19.94159493191822,49.25215433071745
T.E-08.53,Płaska Komórka w Żeleźniaku,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,4.0,0.0,0.0,0.0,0,562357.93,152980.27,1429,2010,19.85695913174705,49.241151022719556
K.Bs-04.96,Jaskinia w Grabowym Wąwozie I,Karpaty,Brenna (gm. wiejska),Skarb Państwa (Lasy Państwowe),8.1,0.0,0.0,0.0,1,496580.16,200530.88,10269,2014,18.952588864565087,49.67216114828687
T.E-12.29,Świstowa Studnia,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,28.0,15.5,0.0,15.5,0,567277.72,153047.67,1564,2010,19.92457217865286,49.24123612520137
T.E-12.42,Jaskinia przy Ryglu,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,17.0,7.0,0.0,7.0,0,566558.55,152706.52,1579,2010,19.914633542210574,49.23824553923853
T.E-12.32,Jaskinia Strzelista,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,83.0,0.0,18.0,18.0,0,566834.21,153433.54,1567,2010,19.918542407285013,49.24475632777792
T.E-11.23,Jaskinia przy Grzędzie,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,12.0,2.8,0.0,2.8,0,565445.36,153031.94,1504,2010,19.899391483301194,49.2412933806674
N-2.34,Słomiany Tunel,Niecka Nidziańska,Wiślica (gm. miejsko-wiejska),Skarb Państwa,7.0,0.0,1.0,1.0,0,618719.12,284926.88,733,2013,20.67166666628995,50.41944444482666
N-2.26,Jaskinia z Potokiem,Niecka Nidziańska,Wiślica (gm. miejsko-wiejska),Skarb Państwa,46.0,4.5,0.0,4.5,0,618756.49,285020.39,703,2013,20.67222223196851,50.42027775629772
K.Bs-02.161,Okap Południowy w Kamesznicy,Karpaty,Milówka (gm. wiejska),Skarb Państwa (Lasy Państwowe),1.8,0.0,2.0,2.0,0,502868.19,194170.01,10708,2015,19.039716726581023,49.61493332157187
K.Bn-09.62,Schronisko w Trzcianie II,Karpaty,Dukla (gm. miejsko-wiejska),Skarb Państwa (Lasy Państwowe),2.0,0.0,0.0,0.0,0,693488.13,185236.57,10785,2015,21.673361169484565,49.503666648996294
T.E-11.60,Nyża pod Schronem w Dolinie Litworowej,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,2.8,0.0,0.0,0.0,0,566281.97,152959.11,1534,2010,19.910875138658273,49.240548068759686
T.E-11.44,Jaskinia Lodowa w Twardych Spadach,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,152.0,0.0,40.0,40.0,0,565537.26,152959.4,1507,2010,19.900642398348545,49.240630912234536
T.E-12.43,Jędrusiowa Dziura,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,419.0,52.8,3.8,56.6,0,567192.34,153136.78,1581,2015,19.923413942859504,49.24204721119858
T.E-11.06,Ptasia Studnia,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,6283.0,352.0,0.0,352.0,0,565859.83,152857.98,1473,2013,19.90505804517546,49.23968381291101
T.E-11.09,Jaskinia nad Dachem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,750.0,140.0,23.0,163.0,0,565892.14,152958.79,1474,2013,19.905518580228485,49.24058730275223
K.Bż-05.34,Grota Baczyńskiego,Karpaty,Zawoja (gm. wiejska),Skarb Państwa (Lasy Państwowe),18.0,1.5,1.0,2.5,1,546282.85,196195.48,10159,2015,19.641111152132204,49.63138890205709
J.Olk.I-10.12,Schronisko na Zakręcie,Wyżyna Śląsko-Krakowska,Krzeszowice (gm. miejsko-wiejska),Skarb Państwa (Lasy Państwowe),7.0,0.0,0.0,0.0,0,545293.37,257492.84,10877,2015,19.634599949266388,50.18291663249822
T.E-11.64,Szczelina nad Ptasią,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,25.0,0.0,9.4,9.4,0,565871.78,152783.32,1545,2010,19.90520996555955,49.23901082390757
T.E-11.56,Kobylarzowa Szczelina,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,12.0,0.0,4.8,4.8,0,566235.78,153382.73,1524,2010,19.91031051790671,49.244364296149094
T.E-12.31,Jaskinia pod Strzelistą,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,41.0,13.0,0.0,13.0,0,566838.67,153453.65,1566,2010,19.9186070519371,49.244936765592904
T.E-11.27,Górne Kominy,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,39.0,0.0,30.0,30.0,0,565517.27,152958.9,1518,2010,19.900367640644564,49.240628555035755
T.E-13.32,Schron pod Mnichem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.5,0.0,0.0,0.0,0,567432.31,153613.34,11059,2017,19.926791605552893,49.24630829961245
J.Olk.I-09.51,Schronisko na Wylot,Wyżyna Śląsko-Krakowska,Olkusz (gm. miejsko-wiejska),Prywatny,4.5,0.0,1.1,1.1,0,546372.81,261581.17,11110,2017,19.65022225612372,50.21961108141029
T.E-11.45,Dziura nad Szlakiem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,11.0,0.0,6.2,6.2,0,566122.09,153334.75,1508,2010,19.908740305505614,49.24394493015213
K.Pc-01.13,Mokra Dziura,Karpaty,Ciężkowice (gm. miejsko-wiejska),Prywatny,6.0,0.0,0.0,0.0,0,642791.65,214026.89,3028,2015,20.983916699327363,49.77661106963621
T.E-11.22,Dziura w Kominie,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.0,0.0,0.0,0.0,0,565293.54,153102.9,1503,2010,19.897316913732965,49.24194801930612
T.E-12.41,Jaskinia w Trawie,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,10.0,5.0,0.0,5.0,0,566551.94,152956.25,1578,2010,19.914584211231812,49.240493027784424
T.E-11.34,Bliźniaczy Komin,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,40.0,0.0,13.5,13.5,0,565932.49,153134.79,1528,2010,19.906101986463447,49.24216639429585
T.E-11.40,Schron nad Kominami,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,9.0,0.0,7.5,7.5,0,565457.33,152957.29,1496,2010,19.899543761880484,49.24062048665604
